ID,Name,Age,Height,Nationality,Position,Agent,N_internacional_games,N_internacional_goals,years_left_in_contrat,Preferred_foot,Team,League,Value
68,Lucas Veríssimo,27,1.88,Brasil,Defesa Central,N.E.,2,0,3,direito,SL Benfica,Liga Portugal Bwin,10000000
69,Morato,21,1.92,Brasil,Defesa Central,N.E.,0,0,2,esquerdo,SL Benfica,Liga Portugal Bwin,10000000
70,João Victor,23,1.87,Brasil,Defesa Central,N.E.,,,5,direito,SL Benfica,Liga Portugal Bwin,8000000
71,Ferro,25,1.91,Portugal,Defesa Central,N.E.,0,0,2,direito,SL Benfica,Liga Portugal Bwin,3500000
72,Nicolás Otamendi,34,1.83,Argentina,Defesa Central,Gestifute,91,4,1,direito,SL Benfica,Liga Portugal Bwin,3500000
73,Jan Vertonghen,35,1.89,Bélgica,Defesa Central,N.E.,139,9,1,,SL Benfica,Liga Portugal Bwin,2000000
74,Alejandro Grimaldo,26,1.71,Espanha,Lateral Esquerdo,N.E.,2,0,1,esquerdo,SL Benfica,Liga Portugal Bwin,20000000
75,Mihailo Ristic,26,1.8,Sérvia,Lateral Esquerdo,N.E.,7,0,4,esquerdo,SL Benfica,Liga Portugal Bwin,3500000
76,Alexander Bah,24,1.83,Dinamarca,Lateral Direito,N.E.,3,1,5,direito,SL Benfica,Liga Portugal Bwin,7000000
77,Gilberto,29,1.81,Brasil,Lateral Direito,N.E.,4,0,3,direito,SL Benfica,Liga Portugal Bwin,5000000
78,André Almeida,31,1.85,Portugal,Lateral Direito,N.E.,8,0,1,direito,SL Benfica,Liga Portugal Bwin,1500000
79,Julian Weigl,26,1.86,Alemanha,Médio Defensivo,Sports360 GmbH,6,0,2,,SL Benfica,Liga Portugal Bwin,22000000
80,Florentino,22,1.84,Portugal,Médio Defensivo,N.E.,12,0,2,direito,SL Benfica,Liga Portugal Bwin,5000000
81,João Mário,29,1.79,Portugal,Médio Centro,P&P Sport ...,50,2,4,,SL Benfica,Liga Portugal Bwin,10000000
82,Gabriel Pires,28,1.86,Brasil,Médio Centro,N.E.,,,2,esquerdo,SL Benfica,Liga Portugal Bwin,5000000
83,Soualiho Meïté,28,1.87,França,Médio Centro,VV Consulting,2,1,4,direito,SL Benfica,Liga Portugal Bwin,5000000
84,Paulo Bernardo,20,1.84,Portugal,Médio Centro,MRP.POSITIONUMBER,9,2,5,direito,SL Benfica,Liga Portugal Bwin,5000000
85,Adel Taarabt,33,1.78,Marrocos,Médio Centro,N.E.,30,4,1,direito,SL Benfica,Liga Portugal Bwin,2500000
86,Rafa Silva,29,1.7,Portugal,Médio Direito,N.E.,25,0,2,,SL Benfica,Liga Portugal Bwin,20000000
87,Diogo Gonçalves,25,1.78,Portugal,Médio Direito,N.E.,13,8,3,direito,SL Benfica,Liga Portugal Bwin,5000000
88,Gil Dias,25,1.86,Portugal,Médio Esquerdo,N.E.,10,2,4,esquerdo,SL Benfica,Liga Portugal Bwin,3000000
89,Chiquinho,26,1.74,Portugal,Médio Ofensivo,N.E.,,,2,direito,SL Benfica,Liga Portugal Bwin,4500000
90,Pizzi,32,1.77,Portugal,Médio Ofensivo,Gestifute,17,3,1,direito,SL Benfica,Liga Portugal Bwin,4000000
91,Nuno Santos,23,1.79,Portugal,Médio Ofensivo,N.E.,3,0,2,direito,SL Benfica,Liga Portugal Bwin,2500000
92,David Neres,25,1.76,Brasil,Extremo Direito,N.E.,7,1,5,esquerdo,SL Benfica,Liga Portugal Bwin,20000000
93,Gonçalo Ramos,21,1.85,Portugal,Segundo Avançado,N.E.,18,14,4,direito,SL Benfica,Liga Portugal Bwin,14000000
94,Roman Yaremchuk,26,1.91,Ucrânia,Ponta de Lança,N.E.,39,13,4,direito,SL Benfica,Liga Portugal Bwin,15000000
95,Haris Seferovic,30,1.86,Suiça,Ponta de Lança,LIAN Sports Group,86,25,2,,SL Benfica,Liga Portugal Bwin,8000000
96,Petar Musa,24,1.9,Croácia,Ponta de Lança,N.E.,0,0,5,direito,SL Benfica,Liga Portugal Bwin,5000000
97,Rodrigo Pinho,31,1.85,Brasil,Ponta de Lança,Marcio Bittencourt ...,,,4,esquerdo,SL Benfica,Liga Portugal Bwin,2000000
98,Matheus,29,1.9,Brasil,Guarda-Redes,N.E.,,,5,direito,SC Braga,Liga Portugal Bwin,6000000
99,Tiago Sá,27,1.86,Portugal,Guarda-Redes,N.E.,3,0,1,direito,SC Braga,Liga Portugal Bwin,800000
100,Sikou Niakaté,22,1.86,França,Defesa,N.E.,1,0,1,esquerdo,SC Braga,Liga Portugal Bwin,1800000
101,Paulo Oliveira,30,1.87,Portugal,Defesa Central,N.E.,1,0,3,direito,SC Braga,Liga Portugal Bwin,4000000
102,Vítor Tormena,26,1.92,Brasil,Defesa Central,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,3000000
103,Bruno Rodrigues,21,1.92,Portugal,Defesa Central,N.E.,0,0,3,direito,SC Braga,Liga Portugal Bwin,2000000
104,Pablo Santos,30,1.88,Brasil,Defesa Central,N.E.,,,1,esquerdo,SC Braga,Liga Portugal Bwin,1000000
105,Francisco Moura,22,1.81,Portugal,Lateral Esquerdo,Proeleven S.A.,10,0,4,esquerdo,SC Braga,Liga Portugal Bwin,4000000
106,Cristian Borja,29,1.8,Colômbia,Lateral Esquerdo,N.E.,5,0,3,esquerdo,SC Braga,Liga Portugal Bwin,3000000
107,Nuno Sequeira,31,1.84,Portugal,Lateral Esquerdo,MRP.POSITIONUMBER,0,0,2,esquerdo,SC Braga,Liga Portugal Bwin,2500000
108,Víctor Gómez,22,1.69,Espanha,Lateral Direito,N.E.,4,1,1,direito,SC Braga,Liga Portugal Bwin,2500000
109,Fabiano Silva,22,1.75,Brasil,Lateral Direito,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,2500000
110,Zé Carlos,23,1.77,Portugal,Lateral Direito,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,1500000
111,Tiago Esgaio,26,1.75,Portugal,Lateral Direito,Proeleven S.A.,,,3,direito,SC Braga,Liga Portugal Bwin,500000
112,Al Musrati,26,1.89,Líbia,Médio Defensivo,N.E.,40,2,2,direito,SC Braga,Liga Portugal Bwin,12000000
113,Lucas Mineiro,26,1.88,Brasil,Médio Defensivo,N.E.,,,3,esquerdo,SC Braga,Liga Portugal Bwin,2000000
114,Jean-Baptiste Gorby,19,1.81,França,Médio Defensivo,N.E.,,,2,direito,SC Braga,Liga Portugal Bwin,500000
115,André Horta,25,1.75,Portugal,Médio Centro,Proeleven S.A.,9,3,5,direito,SC Braga,Liga Portugal Bwin,5000000
116,João Novais,28,1.8,Portugal,Médio Centro,MRP.POSITIONUMBER,0,0,1,direito,SC Braga,Liga Portugal Bwin,3000000
117,André Castro,34,1.81,Portugal,Médio Centro,N.E.,3,1,1,direito,SC Braga,Liga Portugal Bwin,500000
118,Rodrigo Gomes,19,1.75,Portugal,Médio Esquerdo,N.E.,6,0,4,direito,SC Braga,Liga Portugal Bwin,3000000
119,Álvaro Djaló,22,1.76,Espanha,Médio Esquerdo,N.E.,,,3,esquerdo,SC Braga,Liga Portugal Bwin,325000
120,Eduardo,29,1.78,Brasil,Médio Ofensivo,N.E.,0,0,1,esquerdo,SC Braga,Liga Portugal Bwin,300000
121,Ricardo Horta,27,1.73,Portugal,Extremo Esquerdo,Proeleven S.A.,4,1,4,direito,SC Braga,Liga Portugal Bwin,20000000
122,Roger Fernandes,16,1.7,Portugal,Extremo Esquerdo,N.E.,,,2,esquerdo,SC Braga,Liga Portugal Bwin,4000000
123,Iuri Medeiros,27,1.74,Portugal,Extremo Direito,MRP.POSITIONUMBER,0,0,4,esquerdo,SC Braga,Liga Portugal Bwin,6000000
124,Abel Ruiz,22,1.8,Espanha,Ponta de Lança,N.E.,15,7,3,direito,SC Braga,Liga Portugal Bwin,7000000
125,Vitinha,22,1.83,Portugal,Ponta de Lança,N.E.,4,3,2,direito,SC Braga,Liga Portugal Bwin,6000000
126,Mario González,26,1.83,Espanha,Ponta de Lança,N.E.,3,1,3,direito,SC Braga,Liga Portugal Bwin,3000000
127,Guilherme Schettine,26,1.8,Brasil,Ponta de Lança,N.E.,,,3,direito,SC Braga,Liga Portugal Bwin,900000
128,Miguel Falé,18,1.78,Portugal,Ponta de Lança,N.E.,3,0,5,direito,SC Braga,Liga Portugal Bwin,500000
129,Bruno Varela,27,1.91,Portugal,Guarda-Redes,N.E.,0,0,2,direito,Vitória SC,Liga Portugal Bwin,4000000
130,Matous Trmal,23,1.92,República Checa,Guarda-Redes,N.E.,5,0,3,,Vitória SC,Liga Portugal Bwin,2000000
131,Celton Biai,21,1.86,Portugal,Guarda-Redes,N.E.,6,0,2,direito,Vitória SC,Liga Portugal Bwin,500000
132,Antal Bencze,20,1.9,Hungria,Guarda-Redes,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,200000
133,Abdul Mumin,24,1.88,Gana,Defesa Central,N.E.,0,0,2,direito,Vitória SC,Liga Portugal Bwin,3000000
134,Jorge Fernandes,25,1.91,Portugal,Defesa Central,N.E.,9,0,3,direito,Vitória SC,Liga Portugal Bwin,2000000
135,André Amaro,19,1.86,Portugal,Defesa Central,MRP.POSITIONUMBER,9,0,3,direito,Vitória SC,Liga Portugal Bwin,1500000
136,Mikel Villanueva,29,1.92,Venezuela,Defesa Central,N.E.,32,2,3,esquerdo,Vitória SC,Liga Portugal Bwin,1000000
137,Maxwell Woledzi,21,1.89,Gana,Defesa Central,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,400000
138,Easah Suliman,24,1.88,Inglaterra,Defesa Central,SEG,10,2,2,direito,Vitória SC,Liga Portugal Bwin,350000
139,Ryoya Ogawa,25,1.83,Japão,Lateral Esquerdo,N.E.,5,0,1,esquerdo,Vitória SC,Liga Portugal Bwin,900000
140,Hélder Sá,19,1.86,Portugal,Lateral Esquerdo,N.E.,6,0,3,esquerdo,Vitória SC,Liga Portugal Bwin,800000
141,Maga,19,1.75,Portugal,Lateral Direito,N.E.,3,0,3,direito,Vitória SC,Liga Portugal Bwin,2000000
142,Bruno Gaspar,29,1.8,Angola,Lateral Direito,Proeleven S.A.,3,0,4,direito,Vitória SC,Liga Portugal Bwin,700000
143,Tomás Händel,21,1.8,Portugal,Médio Defensivo,N.E.,3,0,4,esquerdo,Vitória SC,Liga Portugal Bwin,3000000
144,Alfa Semedo,24,1.89,Guiné Bissau,Médio Defensivo,Sferico Sports ...,13,2,4,direito,Vitória SC,Liga Portugal Bwin,1500000
145,Matheus Índio,22,1.82,Brasil,Médio Defensivo,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,500000
146,Ibrahima Bamba,20,1.84,Itália,Médio Defensivo,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,500000
147,André Almeida,22,1.76,Portugal,Médio Centro,N.E.,7,1,1,direito,Vitória SC,Liga Portugal Bwin,5000000
148,André André,32,1.74,Portugal,Médio Centro,N.E.,4,1,2,direito,Vitória SC,Liga Portugal Bwin,2000000
149,Nicolas Janvier,23,1.72,França,Médio Centro,N.E.,3,0,2,direito,Vitória SC,Liga Portugal Bwin,1000000
150,Tiago Silva,29,1.72,Portugal,Médio Ofensivo,N.E.,5,0,4,direito,Vitória SC,Liga Portugal Bwin,1500000
151,Jacob Maddox,23,1.79,Inglaterra,Médio Ofensivo,Unique Sports Group,2,0,2,direito,Vitória SC,Liga Portugal Bwin,500000
152,Jota Silva,22,1.79,Portugal,Extremo Esquerdo,N.E.,,,3,direito,Vitória SC,Liga Portugal Bwin,750000
153,Nélson Luz,24,1.77,Angola,Extremo Esquerdo,N.E.,11,0,3,esquerdo,Vitória SC,Liga Portugal Bwin,300000
154,Rúben Lameiras,27,1.74,Portugal,Extremo Direito,Gestifute,,,2,esquerdo,Vitória SC,Liga Portugal Bwin,1500000
155,Anderson Silva,24,1.86,Brasil,Ponta de Lança,MRP.POSITIONUMBER,,,3,direito,Vitória SC,Liga Portugal Bwin,1500000
156,Bruno Duarte,26,1.82,Brasil,Ponta de Lança,N.E.,,,1,direito,Vitória SC,Liga Portugal Bwin,1500000
157,Herculano Nabian,18,1.82,Portugal,Ponta de Lança,N.E.,9,2,1,direito,Vitória SC,Liga Portugal Bwin,500000
158,Luiz Júnior,21,1.92,Brasil,Guarda-Redes,N.E.,0,0,4,esquerdo,FC Famalicão,Liga Portugal Bwin,3000000
159,Ivan Zlobin,25,1.91,Rússia,Guarda-Redes,N.E.,1,0,3,direito,FC Famalicão,Liga Portugal Bwin,400000
160,Dalberson,25,1.91,Brasil,Guarda-Redes,N.E.,,,2,esquerdo,FC Famalicão,Liga Portugal Bwin,200000
161,Alexandre Penetra,20,1.86,Portugal,Defesa Central,N.E.,3,0,4,direito,FC Famalicão,Liga Portugal Bwin,3000000
162,Riccieli,23,1.84,Brasil,Defesa Central,D20 Sports,,,3,direito,FC Famalicão,Liga Portugal Bwin,1500000
163,Patrick William,25,1.87,Brasil,Defesa Central,N.E.,,,2,direito,FC Famalicão,Liga Portugal Bwin,1000000
164,Diogo Queirós,23,1.85,Portugal,Defesa Central,Gestifute,16,4,1,direito,FC Famalicão,Liga Portugal Bwin,1000000
165,Dylan Batubinsika,26,1.88,França,Defesa Central,N.E.,5,1,3,direito,FC Famalicão,Liga Portugal Bwin,700000
166,Rúben Lima,32,1.77,Portugal,Lateral Esquerdo,N.E.,13,0,2,esquerdo,FC Famalicão,Liga Portugal Bwin,200000
167,Hernán de la Fuente,25,1.78,Argentina,Lateral Direito,SP,6,0,2,direito,FC Famalicão,Liga Portugal Bwin,1000000
168,Diogo Figueiras,31,1.69,Portugal,Lateral Direito,Promoesport,1,0,0,direito,FC Famalicão,Liga Portugal Bwin,700000
169,Dani Morer,24,1.66,Espanha,Lateral Direito,SEG,0,0,3,direito,FC Famalicão,Liga Portugal Bwin,400000
170,Gustavo Assunção,22,1.78,Brasil,Médio Defensivo,N.E.,2,0,3,direito,FC Famalicão,Liga Portugal Bwin,4500000
171,Charles Pickel,25,1.87,Suiça,Médio Defensivo,N.E.,10,1,3,direito,FC Famalicão,Liga Portugal Bwin,2500000
172,André Simões,32,1.77,Portugal,Médio Defensivo,N.E.,,,,direito,FC Famalicão,Liga Portugal Bwin,600000
173,Lawrence Ofori,24,1.81,Gana,Médio Centro,N.E.,,,2,direito,FC Famalicão,Liga Portugal Bwin,300000
174,João Neto,19,1.86,Brasil,Médio Centro,Gestifute,,,,direito,FC Famalicão,Liga Portugal Bwin,250000
175,Pedro Brazão,19,1.78,Portugal,Médio Ofensivo,LIAN Sports Group,7,1,4,esquerdo,FC Famalicão,Liga Portugal Bwin,2000000
176,David Tavares,23,1.9,Portugal,Médio Ofensivo,N.E.,4,0,4,esquerdo,FC Famalicão,Liga Portugal Bwin,500000
177,Iván Jaime,21,1.8,Espanha,Extremo Esquerdo,ICM Stellar Sports,4,1,3,direito,FC Famalicão,Liga Portugal Bwin,1000000
178,Ivo,27,1.8,Portugal,Extremo Direito,N.E.,10,4,2,direito,FC Famalicão,Liga Portugal Bwin,1500000
179,Heriberto Tavares,25,1.81,Portugal,Extremo Direito,N.E.,9,6,2,esquerdo,FC Famalicão,Liga Portugal Bwin,1200000
180,Théo Fonseca,22,1.78,Portugal,Extremo Direito,N.E.,4,0,3,direito,FC Famalicão,Liga Portugal Bwin,200000
181,Geovani,21,1.78,Brasil,Extremo Direito,TFM Agency,,,0,esquerdo,FC Famalicão,Liga Portugal Bwin,200000
182,Jhonder Cádiz,26,1.9,Venezuela,Ponta de Lança,N.E.,5,0,,direito,FC Famalicão,Liga Portugal Bwin,2500000
183,Rui Fonte,32,1.8,Portugal,Ponta de Lança,ICM Stellar Sports,22,8,2,direito,FC Famalicão,Liga Portugal Bwin,1000000
184,Pablo,18,1.84,Brasil,Ponta de Lança,N.E.,,,2,direito,FC Famalicão,Liga Portugal Bwin,300000
185,Rafael Bracali,41,1.85,Brasil,Guarda-Redes,N.E.,,,1,direito,Boavista FC,Liga Portugal Bwin,100000
186,João Gonçalves,21,1.88,Portugal,Guarda-Redes,N.E.,1,0,2,direito,Boavista FC,Liga Portugal Bwin,100000
187,Chidozie Awaziem,25,1.89,Nigéria,Defesa Central,N.E.,28,1,3,direito,Boavista FC,Liga Portugal Bwin,4000000
188,Rodrigo Abascal,28,1.9,Uruguai,Defesa Central,N.E.,,,2,esquerdo,Boavista FC,Liga Portugal Bwin,800000
189,Vincent Sasso,31,1.9,França,Defesa Central,N.E.,2,0,2,direito,Boavista FC,Liga Portugal Bwin,500000
190,Robson Reis,22,1.96,Brasil,Defesa Central,N.E.,,,1,direito,Boavista FC,Liga Portugal Bwin,150000
191,Guito,19,1.95,Portugal,Defesa Central,N.E.,,,1,direito,Boavista FC,Liga Portugal Bwin,100000
192,João Barros,19,1.79,Portugal,Defesa Central,N.E.,,,0,esquerdo,Boavista FC,Liga Portugal Bwin,0
193,Pedro Gomes,19,1.85,Portugal,Defesa Central,N.E.,,,3,direito,Boavista FC,Liga Portugal Bwin,0
194,Yanis Hamache,22,1.77,Argélia,Lateral Esquerdo,N.E.,1,0,1,esquerdo,Boavista FC,Liga Portugal Bwin,2000000
195,Ricardo Mangas,24,1.79,Portugal,Lateral Esquerdo,N.E.,8,0,2,esquerdo,Boavista FC,Liga Portugal Bwin,1500000
196,Filipe Ferreira,31,1.78,Portugal,Lateral Esquerdo,Proeleven S.A.,2,0,0,esquerdo,Boavista FC,Liga Portugal Bwin,400000
197,Reggie Cannon,24,1.8,Estados Unidos,Lateral Direito,YMU Group,26,1,3,direito,Boavista FC,Liga Portugal Bwin,4000000
198,Nathan,20,1.83,Brasil,Lateral Direito,TFM Agency,,,3,direito,Boavista FC,Liga Portugal Bwin,3000000
199,Ilija Vukotic,23,1.91,Montenegro,Médio Defensivo,N.E.,0,0,,esquerdo,Boavista FC,Liga Portugal Bwin,500000
200,Tomás Reymão,23,1.88,Portugal,Médio Defensivo,Gestifute,,,0,direito,Boavista FC,Liga Portugal Bwin,300000
201,Fran Pereira,20,1.85,Portugal,Médio Defensivo,Gestifute,,,1,direito,Boavista FC,Liga Portugal Bwin,200000
202,Seba Pérez,29,1.75,Colômbia,Médio Centro,N.E.,10,1,3,direito,Boavista FC,Liga Portugal Bwin,1500000
203,Gaius Makouta,24,1.8,Congo,Médio Centro,N.E.,14,1,2,direito,Boavista FC,Liga Portugal Bwin,1500000
204,Miguel Reisinho,23,1.84,Portugal,Médio Centro,Gestifute,1,0,3,esquerdo,Boavista FC,Liga Portugal Bwin,300000
205,Kenji Gorré,27,1.78,Curacao,Extremo Esquerdo,N.E.,7,2,1,direito,Boavista FC,Liga Portugal Bwin,700000
206,Salvador Agra,30,1.66,Portugal,Extremo Esquerdo,N.E.,8,2,2,direito,Boavista FC,Liga Portugal Bwin,500000
207,Paul-Georges Ntep,29,1.8,Camarões,Extremo Esquerdo,Sport Cover,4,1,0,direito,Boavista FC,Liga Portugal Bwin,400000
208,Tiago Morais,18,1.68,Portugal,Extremo Direito,N.E.,2,0,1,direito,Boavista FC,Liga Portugal Bwin,500000
209,Luís Santos,22,1.76,Portugal,Extremo Direito,N.E.,,,0,direito,Boavista FC,Liga Portugal Bwin,500000
210,Pedro Malheiro,21,1.79,Portugal,Extremo Direito,Gestifute,,,3,direito,Boavista FC,Liga Portugal Bwin,500000
211,Bruno Lourenço,24,1.79,Portugal,Extremo Direito,N.E.,3,0,3,esquerdo,Boavista FC,Liga Portugal Bwin,400000
212,Diego Llorente,20,1.79,Espanha,Extremo Direito,N.E.,,,1,direito,Boavista FC,Liga Portugal Bwin,50000
213,Juninho,25,1.79,Brasil,Segundo Avançado,N.E.,,,2,direito,Boavista FC,Liga Portugal Bwin,200000
214,Yusupha Njie,28,1.88,Gâmbia,Ponta de Lança,N.E.,6,0,1,,Boavista FC,Liga Portugal Bwin,800000
215,Jeriel De Santis,20,1.9,Venezuela,Ponta de Lança,N.E.,0,0,3,direito,Boavista FC,Liga Portugal Bwin,500000
216,Stanislav Kritsyuk,31,1.92,Rússia,Guarda-Redes,InterStarDeporte,2,0,,direito,Gil Vicente FC,Liga Portugal Bwin,1500000
217,Ziga Frelih,24,1.97,Eslovénia,Guarda-Redes,N.E.,0,0,,esquerdo,Gil Vicente FC,Liga Portugal Bwin,800000
218,Andrew,21,1.89,Brasil,Guarda-Redes,N.E.,,,2,,Gil Vicente FC,Liga Portugal Bwin,400000
219,Brian Araújo,22,1.89,Portugal,Guarda-Redes,N.E.,1,0,3,direito,Gil Vicente FC,Liga Portugal Bwin,200000
220,Lucas Cunha,25,1.86,Brasil,Defesa Central,D20 Sports,6,0,2,direito,Gil Vicente FC,Liga Portugal Bwin,2500000
221,Diogo Silva,27,1.87,Brasil,Defesa Central,N.E.,,,1,direito,Gil Vicente FC,Liga Portugal Bwin,200000
222,Guilherme,21,1.9,Brasil,Defesa Central,N.E.,,,3,direito,Gil Vicente FC,Liga Portugal Bwin,200000
223,Rúben Fernandes,36,1.87,Portugal,Defesa Central,Proeleven S.A.,1,0,1,direito,Gil Vicente FC,Liga Portugal Bwin,100000
224,Manuel Lopes,22,1.85,Portugal,Defesa Central,N.E.,,,,direito,Gil Vicente FC,Liga Portugal Bwin,0
225,Henrique Gomes,26,1.85,Portugal,Lateral Esquerdo,N.E.,,,0,esquerdo,Gil Vicente FC,Liga Portugal Bwin,300000
226,Lucas Barros,22,1.8,Brasil,Lateral Esquerdo,N.E.,,,3,esquerdo,Gil Vicente FC,Liga Portugal Bwin,250000
227,Emmanuel Hackman,27,1.87,Togo,Lateral Direito,N.E.,4,0,2,direito,Gil Vicente FC,Liga Portugal Bwin,500000
228,Danilo Veiga,19,1.83,Portugal,Lateral Direito,N.E.,,,,direito,Gil Vicente FC,Liga Portugal Bwin,0
229,Vitor Carvalho,25,1.83,Brasil,Médio Defensivo,TFM Agency,,,2,,Gil Vicente FC,Liga Portugal Bwin,1500000
230,Giorgi Aburjania,27,1.86,Geórgia,Médio Defensivo,Promoesport,34,1,1,,Gil Vicente FC,Liga Portugal Bwin,500000
231,Pedro Tiba,33,1.74,Portugal,Médio Centro,N.E.,0,0,2,direito,Gil Vicente FC,Liga Portugal Bwin,600000
232,João Caiado,23,1.78,Portugal,Médio Centro,N.E.,,,1,direito,Gil Vicente FC,Liga Portugal Bwin,100000
233,Kanya Fujimoto,23,1.76,Japão,Médio Ofensivo,N.E.,5,0,3,esquerdo,Gil Vicente FC,Liga Portugal Bwin,2000000
234,Matheus Bueno,23,1.78,Brasil,Médio Ofensivo,N.E.,,,2,,Gil Vicente FC,Liga Portugal Bwin,500000
235,Murilo de Souza,27,1.76,Brasil,Extremo Direito,Proeleven S.A.,,,2,esquerdo,Gil Vicente FC,Liga Portugal Bwin,600000
236,Bilel Aouacheria,28,1.82,França,Extremo Direito,N.E.,,,1,,Gil Vicente FC,Liga Portugal Bwin,400000
237,Boubacar Hanne,23,,Portugal,Extremo Direito,N.E.,,,1,,Gil Vicente FC,Liga Portugal Bwin,250000
238,Fran Navarro,24,1.79,Espanha,Ponta de Lança,N.E.,6,1,2,direito,Gil Vicente FC,Liga Portugal Bwin,3000000
239,Ali Alipour,26,1.81,Irão,Ponta de Lança,N.E.,2,0,2,,Gil Vicente FC,Liga Portugal Bwin,1500000
240,Élder Santana,29,1.86,Brasil,Ponta de Lança,N.E.,,,1,direito,Gil Vicente FC,Liga Portugal Bwin,300000
241,André Liberal,19,1.81,Portugal,Ponta de Lança,N.E.,,,2,direito,Gil Vicente FC,Liga Portugal Bwin,100000
242,Daniel Figueira,23,1.89,Portugal,Guarda-Redes,N.E.,1,0,2,direito,GD Estoril Praia,Liga Portugal Bwin,1000000
243,Thiago Silva,26,1.85,Brasil,Guarda-Redes,N.E.,2,0,1,direito,GD Estoril Praia,Liga Portugal Bwin,300000
244,Bernardo Vital,21,1.87,Portugal,Defesa Central,ICM Stellar Sports,0,0,3,direito,GD Estoril Praia,Liga Portugal Bwin,500000
245,Lucas Áfrico,27,1.88,Brasil,Defesa Central,N.E.,,,1,esquerdo,GD Estoril Praia,Liga Portugal Bwin,500000
246,Pedro Álvaro,22,1.86,Portugal,Defesa Central,N.E.,4,0,1,direito,GD Estoril Praia,Liga Portugal Bwin,300000
247,Simão Júnior,23,1.9,Guiné Bissau,Defesa Central,N.E.,2,0,2,direito,GD Estoril Praia,Liga Portugal Bwin,100000
248,Racine Coly,26,1.85,Senegal,Lateral Esquerdo,N.E.,4,0,2,esquerdo,GD Estoril Praia,Liga Portugal Bwin,500000
249,Joãozinho,33,1.85,Portugal,Lateral Esquerdo,N.E.,,,0,esquerdo,GD Estoril Praia,Liga Portugal Bwin,200000
250,Gonçalo Esteves,18,1.71,Portugal,Lateral Direito,N.E.,4,0,1,direito,GD Estoril Praia,Liga Portugal Bwin,3000000
251,Carles Soria,25,1.7,Espanha,Lateral Direito,N.E.,,,1,direito,GD Estoril Praia,Liga Portugal Bwin,800000
252,David Bruno,30,1.75,Portugal,Lateral Direito,Proeleven S.A.,4,0,0,direito,GD Estoril Praia,Liga Portugal Bwin,500000
253,Loreintz Rosier,23,1.9,França,Médio Defensivo,N.E.,,,1,direito,GD Estoril Praia,Liga Portugal Bwin,800000
254,João Gamboa,25,1.87,Portugal,Médio Defensivo,N.E.,1,0,0,direito,GD Estoril Praia,Liga Portugal Bwin,650000
255,Titouan Thomas,20,1.83,França,Médio Centro,N.E.,2,0,3,direito,GD Estoril Praia,Liga Portugal Bwin,200000
256,André Franco,24,1.77,Portugal,Médio Ofensivo,Promoesport,,,2,esquerdo,GD Estoril Praia,Liga Portugal Bwin,3500000
257,Chico Geraldes,27,1.75,Portugal,Médio Ofensivo,N.E.,2,0,1,,GD Estoril Praia,Liga Portugal Bwin,800000
258,Arthur Gomes,24,1.74,Brasil,Extremo Esquerdo,N.E.,0,0,2,direito,GD Estoril Praia,Liga Portugal Bwin,1500000
259,Rodrigo Martins,23,1.77,Portugal,Extremo Esquerdo,N.E.,,,4,direito,GD Estoril Praia,Liga Portugal Bwin,550000
260,Tiago Araújo,21,1.84,Portugal,Extremo Esquerdo,MRP.POSITIONUMBER,2,0,3,esquerdo,GD Estoril Praia,Liga Portugal Bwin,450000
261,Elias Achouri,23,1.77,Tunísia,Extremo Direito,N.E.,2,0,1,direito,GD Estoril Praia,Liga Portugal Bwin,300000
262,João Carlos,27,1.87,Brasil,Ponta de Lança,N.E.,,,2,direito,GD Estoril Praia,Liga Portugal Bwin,650000
263,Leonardo Ruiz,26,1.87,Colômbia,Ponta de Lança,N.E.,,,2,direito,GD Estoril Praia,Liga Portugal Bwin,500000
264,André Clóvis,24,1.86,Brasil,Ponta de Lança,TFM Agency,,,1,direito,GD Estoril Praia,Liga Portugal Bwin,300000
265,Gilson Tavares,20,1.77,Cabo Verde,Ponta de Lança,N.E.,7,3,2,direito,GD Estoril Praia,Liga Portugal Bwin,150000
266,Samuel,28,1.88,Brasil,Guarda-Redes,N.E.,,,3,direito,Portimonense SC,Liga Portugal Bwin,1500000
267,Payam Niazmand,27,1.94,Irão,Guarda-Redes,Reza Sport ...,1,0,2,direito,Portimonense SC,Liga Portugal Bwin,500000
268,Kosuke Nakamura,27,1.85,Japão,Guarda-Redes,N.E.,6,0,1,direito,Portimonense SC,Liga Portugal Bwin,350000
269,Leonardo,29,1.92,Brasil,Guarda-Redes,N.E.,,,,direito,Portimonense SC,Liga Portugal Bwin,250000
270,Willyan Rocha,27,1.93,Brasil,Defesa Central,Sferico Sports ...,,,1,direito,Portimonense SC,Liga Portugal Bwin,1500000
271,Pedrão,25,1.94,Brasil,Defesa Central,TFM Agency,,,5,direito,Portimonense SC,Liga Portugal Bwin,1500000
272,Filipe Relvas,22,1.92,Portugal,Defesa Central,N.E.,,,4,esquerdo,Portimonense SC,Liga Portugal Bwin,600000
